Customer_ID,Product_ID,Transaction_Date,Price_per_Unit,Units_Sold
384,1286,2020-01-01,432.83,6
103,422,2020-01-01,203.12,10
664,832,2020-01-01,703.74,9
456,1692,2020-01-01,60.02,9
527,41,2020-01-01,658.94,9
461,254,2020-01-01,376.95,4
890,1547,2020-01-01,187.12,8
122,1393,2020-01-01,690.48,9
711,1058,2020-01-01,976.19,4
184,304,2020-01-01,48.86,4
932,1532,2020-01-01,588.32,5
759,20,2020-01-01,511.17,7
366,205,2020-01-01,142.73,5
314,112,2020-01-01,763.96,3
351,273,2020-01-01,468.49,5
208,1598,2020-01-01,517.37,3
896,1886,2020-01-01,804.35,2
689,133,2020-01-01,86.4,9
346,807,2020-01-01,578.46,7
223,1421,2020-01-01,566.3,9
268,1746,2020-01-01,973.58,9
199,535,2020-01-01,198.16,6
362,503,2020-01-01,248.91,2
393,2,2020-01-01,781.93,8
662,1430,2020-01-01,827.65,10
438,1340,2020-01-01,860.33,3
655,1098,2020-01-01,961.4,8
873,1267,2020-01-01,759.51,3
100,648,2020-01-01,338.86,4
415,130,2020-01-01,850.32,4
244,1505,2020-01-01,92.19,1
622,99,2020-01-01,842.14,9
955,1047,2020-01-01,893.92,2
840,1946,2020-01-01,252.01,8
706,1771,2020-01-01,74.86,5
543,952,2020-01-01,641.54,1
570,1372,2020-01-01,891.74,8
995,470,2020-01-01,330.1,1
969,537,2020-01-01,439.93,1
268,1269,2020-01-01,951.43,9
180,1218,2020-01-01,949.3,2
571,1821,2020-01-01,486.58,9
885,368,2020-01-01,212.58,9
768,937,2020-01-01,129.58,3
534,259,2020-01-01,408.73,8
228,235,2020-01-01,507.51,10
608,1747,2020-01-01,979.49,7
354,1240,2020-01-01,401.04,3
542,1520,2020-01-02,405.76,7
326,1726,2020-01-02,378.8,9
792,1126,2020-01-02,469.16,10
113,164,2020-01-02,519.56,8
927,798,2020-01-02,253.01,7
557,489,2020-01-02,492.29,4
584,1745,2020-01-02,264.14,8
875,582,2020-01-02,534.34,8
731,1961,2020-01-02,389.76,7
239,450,2020-01-02,294.33,9
484,539,2020-01-02,398.82,6
961,1909,2020-01-02,121.91,4
424,155,2020-01-02,162.59,10
681,743,2020-01-02,418.41,9
209,1234,2020-01-02,184.11,6
630,1719,2020-01-02,451.55,7
833,539,2020-01-02,894.25,9
291,1995,2020-01-02,797.21,8
965,19,2020-01-02,890.56,5
184,720,2020-01-02,724.25,2
928,1471,2020-01-02,318.32,8
969,1092,2020-01-02,242.19,5
816,970,2020-01-02,889.4,4
110,1981,2020-01-02,283.2,6
291,162,2020-01-02,835.77,10
864,623,2020-01-02,527.04,3
941,1827,2020-01-02,524.39,1
169,1605,2020-01-02,918.16,6
848,726,2020-01-02,238.8,6
731,1631,2020-01-02,779.22,5
329,777,2020-01-02,95.23,4
408,1906,2020-01-02,257.95,5
208,648,2020-01-02,569.02,2
