Name,Brand channel,Subscribers (millions),Primary language,Category,Country
MrBeast,No,335.0,English,Entertainment,United States
T-Series,Yes,280.0,Hindi,Music,India
Cocomelon - Nursery Rhymes,Yes,186.0,English,Education,United States
SET India,Yes,180.0,Hindi,Entertainment,India
Vlad and Niki,No,129.0,English,Entertainment,Russia
Kids Diana Show,Yes,128.0,English,Entertainment,United States  Ukraine
Like Nastya,No,123.0,English,Entertainment,United States  Ukraine
Zee Music,Yes,112.0,Hindi,Music,India
PewDiePie,No,110.0,English,Entertainment,Sweden  Japan
WWE,Yes,105.0,English,Sports,United States
Goldmines,Yes,101.0,Hindi,Film,India
Stokes Twins,No,100.0,English,Entertainment,United States
Sony SAB,Yes,97.5,Hindi,Entertainment,India
Blackpink,No,95.3,Korean,Music,South Korea
ChuChu TV Nursery Rhymes & Kids Songs,Yes,94.2,Hindi,Education,India
Zee TV,Yes,86.0,Hindi,Entertainment,India
5-Minute Crafts,Yes,81.1,English,How-to,Cyprus[a]
BANGTANTV,No,79.4,Korean,Music,South Korea
Pinkfong,Yes,79.2,English,Education,South Korea
Colors TV,Yes,77.5,Hindi,Entertainment,India
Hybe Labels,Yes,76.2,Korean,Music,South Korea
Justin Bieber,No,74.4,English,Music,Canada
T-Series Bhakti Sagar,Yes,72.5,Hindi,Music,India
김프로KIMPRO,No,71.9,Korean,Entertainment,South Korea
UR · Cristiano,No,71.3,"Portuguese, English",Entertainment/Sports,Portugal
A4,No,71.1,Russian,Entertainment,Belarus
Tips Official,Yes,70.8,Hindi,Entertainment,India
Shemaroo Filmi Gaane,Yes,70.2,Hindi,Music,India
Alan Chikin Chow,No,69.2,English,Entertainment,United States
ZAMZAM ELECTRONICS TRADING,No,68.9,Arabic,Entertainment,United Arab Emirates
Aaj Tak,Yes,68.6,Hindi,News,India
Toys and Colors,No,67.9,English,Entertainment,United States
Canal KondZilla,Yes,67.5,Portuguese,Music,Brazil
El Reino Infantil,Yes,67.0,Spanish,Music,Argentina
Infobells - Hindi,Yes,66.6,Hindi,Education,India
Wave Music,Yes,63.6,Bhojpuri,Music,India
Eminem Music,No,63.2,English,Music,United States
YRF,Yes,62.8,Hindi,Music,India
Movieclips,Yes,62.8,English,Film,United States
Sony Music India,Yes,62.8,Hindi,Music,India
HAR PAL GEO,Yes,62.7,Urdu,Entertainment,Pakistan
KL BRO Biju Rithvik,No,62.2,Malayalam,Lifestyle Vlogs,India
Dude Perfect,No,60.6,English,Comedy,United States
Taylor Swift,No,60.4,English,Music,United States
Mark Rober,No,60.2,English,Education/Entertainment,United States
ARY Digital HD,Yes,59.7,Urdu,Entertainment,Pakistan
Fede Vigevani,No,59.4,Spanish,Entertainment,Mexico
LooLoo Kids,Yes,59.3,English,Music,Romania
BillionSurpriseToys,Yes,57.6,English,Entertainment,United States
Marshmello,No,57.5,English,Music,United States
